wijkcode,wijknaam,aantal_lantaarns,Totaal misdrijven,wijkcode_clean,AfstandTotHuisartsenpraktijk_5,AfstandTotHuisartsenpost_9,AfstandTotApotheek_10,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15,AfstandTotGroteSupermarkt_24,AfstandTotOvDagelLevensmiddelen_28,AfstandTotWarenhuis_32,AfstandTotCafeED_36,AfstandTotCafetariaED_40,AfstandTotRestaurant_44,AfstandTotHotelED_48,AfstandTotKinderdagverblijf_52,AfstandTotBuitenschoolseOpvang_56,AfstandTotSchool_60,AfstandTotSchool_64,AfstandTotSchool_68,AfstandTotSchool_72,AfstandTotOpritHoofdverkeersweg_89,AfstandTotTreinstationsTotaal_90,AfstandTotBelangrijkOverstapstation_91,AfstandTotBibliotheek_92,AfstandTotZwembad_93,AfstandTotKunstijsbaan_94,AfstandTotMuseum_95,AfstandTotPodiumkunstenTotaal_99,AfstandTotPoppodium_103,AfstandTotBioscoop_104,AfstandTotSauna_108,AfstandTotZonnebank_109,AfstandTotAttractie_110,AfstandTotBrandweerkazerne_114,inwoners,oppervlakte_ha,oppervlakte_km2,aantal_bomen,Misdrijven_per_1000_inwoners,Lights_per_km2,Trees_per_km2,min_dist_nightlife,mean_dist_nightlife,min_dist_mobility,mean_dist_mobility,min_dist_retail_daily,mean_dist_retail_daily,min_dist_education_youth,mean_dist_education_youth,min_dist_culture_sport_public,mean_dist_culture_sport_public,min_dist_emergency_health,mean_dist_emergency_health
WK0363EJ,Frederik Hendrikbuurt,532,47.0,wk0363ej,0.4,3.1,0.4,1.9,3.1,0.3,0.2,1.5,0.3,0.2,0.2,0.5,0.3,0.4,0.5,0.5,0.5,0.5,2.5,2.9,2.9,0.7,0.7,7.5,1.0,0.9,1.7,0.9,1.3,1.2,2.5,0.8,8200,42.0,0.42,861,5.7317073170731705,1266.6666666666667,2050.0,0.2,0.6333333333333333,2.5,2.766666666666667,0.2,0.6666666666666666,0.3,0.45,0.7,2.216666666666667,0.4,1.616666666666667
WK0363EK,Van Galenbuurt,394,32.0,wk0363ek,0.4,1.3,0.7,1.3,1.3,0.6,0.2,1.2,0.2,0.3,0.2,0.8,0.5,0.4,0.5,1.4,1.4,1.4,0.7,2.8,3.5,0.6,0.6,9.0,1.9,1.6,3.1,1.9,2.1,0.6,0.7,2.2,7910,29.0,0.29,815,4.04551201011378,1358.6206896551726,2810.344827586207,0.2,1.0833333333333333,0.7,2.3333333333333335,0.2,0.6666666666666666,0.4,0.9333333333333332,0.6,2.4,0.4,1.2
WK0363EL,Geuzenbuurt,402,35.0,wk0363el,0.5,2.0,0.5,2.0,2.0,0.4,0.3,1.5,0.4,0.3,0.2,0.8,0.2,0.4,0.5,0.8,0.8,0.8,1.6,3.5,3.6,1.2,1.4,8.2,1.9,1.2,2.4,1.2,1.6,1.2,1.6,1.5,6625,29.0,0.29,586,5.283018867924529,1386.2068965517242,2020.689655172414,0.2,0.8833333333333333,1.6,2.9,0.3,0.7333333333333334,0.2,0.5833333333333334,1.2,2.583333333333333,0.5,1.4166666666666667
WK0363EM,Hoofdweg e.o.,655,58.0,wk0363em,0.3,1.7,0.5,1.7,1.7,0.4,0.2,1.1,0.2,0.3,0.2,0.8,0.3,0.3,0.5,1.6,1.6,1.7,1.4,2.4,3.9,0.7,1.2,8.5,2.4,1.9,2.6,1.5,1.8,0.7,1.4,2.2,10150,42.0,0.42,865,5.714285714285714,1559.5238095238096,2059.5238095238096,0.2,0.9333333333333332,1.4,2.5666666666666664,0.2,0.5666666666666668,0.3,1.0000000000000002,0.7,2.6833333333333336,0.3,1.3499999999999999
WK0363EN,Chassébuurt,329,20.0,wk0363en,0.4,2.1,0.6,2.1,2.1,0.4,0.3,0.9,0.2,0.3,0.2,0.4,0.3,0.3,0.4,1.3,1.3,1.3,1.7,3.0,3.9,1.0,1.5,8.1,2.1,1.4,2.2,1.1,1.5,0.8,1.7,1.6,6060,28.0,0.28,424,3.3003300330033003,1175.0,1514.2857142857142,0.2,0.7333333333333334,1.7,2.8666666666666667,0.3,0.5333333333333333,0.3,0.8166666666666665,1.0,2.6333333333333333,0.4,1.4833333333333332
WK0363EP,Bellamybuurt,361,45.0,wk0363ep,0.4,2.6,0.7,2.3,2.6,0.4,0.2,0.8,0.2,0.2,0.1,0.4,0.3,0.6,0.5,1.2,1.2,1.3,2.3,3.1,3.6,0.6,1.8,7.4,1.6,1.0,1.6,0.6,0.8,0.6,2.3,1.2,6375,27.0,0.27,432,7.058823529411765,1337.037037037037,1600.0,0.1,0.5166666666666667,2.3,3.0,0.2,0.46666666666666673,0.3,0.85,0.6,2.4499999999999997,0.4,1.6333333333333335
WK0363EQ,Da Costabuurt,272,38.0,wk0363eq,0.3,2.9,0.5,1.8,2.9,0.2,0.2,1.3,0.2,0.2,0.1,0.3,0.3,0.4,0.4,0.9,1.0,0.9,2.6,3.0,3.0,0.7,1.2,7.0,1.1,0.5,1.2,0.8,0.5,0.9,2.5,0.6,4740,26.0,0.26,491,8.016877637130802,1046.1538461538462,1888.4615384615383,0.1,0.4666666666666666,2.6,2.8666666666666667,0.2,0.5666666666666668,0.3,0.65,0.5,2.1666666666666665,0.3,1.5
WK0363ER,Westindische Buurt,476,29.0,wk0363er,0.5,2.3,0.6,2.3,2.3,0.4,0.2,1.2,0.4,0.3,0.2,0.7,0.2,0.4,0.5,1.6,1.6,1.6,1.2,1.8,3.5,1.3,1.8,8.3,2.9,2.4,2.8,1.8,2.0,1.2,2.0,2.1,6685,35.0,0.35,683,4.338070306656694,1360.0,1951.4285714285716,0.2,1.0333333333333334,1.2,2.1666666666666665,0.2,0.6,0.2,0.9833333333333334,1.3,3.1166666666666667,0.5,1.6833333333333333
WK0363ES,Van Lennepbuurt,354,42.0,wk0363es,0.4,3.0,0.7,2.3,3.0,0.3,0.2,0.7,0.2,0.2,0.2,0.4,0.4,0.5,0.4,1.0,1.0,1.2,2.5,3.1,3.7,0.6,1.9,7.2,1.7,1.1,1.4,0.9,0.7,0.6,2.6,1.4,6890,29.0,0.29,496,6.095791001451379,1220.689655172414,1710.344827586207,0.2,0.5499999999999999,2.5,3.1,0.2,0.39999999999999997,0.4,0.75,0.6,2.516666666666666,0.4,1.8
WK0363ET,Overtoomse Sluis,397,35.0,wk0363et,0.8,3.0,0.6,3.0,3.0,0.4,0.2,0.9,0.3,0.3,0.1,0.4,0.3,0.4,0.6,1.3,1.3,1.8,1.6,2.2,3.6,1.3,2.3,7.5,2.1,1.8,2.1,1.7,1.7,0.8,2.7,2.2,7945,31.0,0.31,505,4.405286343612335,1280.6451612903227,1629.032258064516,0.1,0.8166666666666668,1.6,2.466666666666667,0.2,0.5,0.3,0.9499999999999998,1.3,2.9499999999999997,0.6,2.1
