neighbourhood_code,neighbourhood_name,population,crime_rate_per_1000,log_crime_rate,tree_density_per_km2,light_density_per_km2,mean_dist_nightlife,mean_dist_mobility,mean_dist_retail,mean_dist_education,mean_dist_culture_sport,mean_dist_emergency_health
WK0363EB,Spaarndammerbuurt/Zeeheldenbuurt,10815,7.489597780859916,2.1388416235661207,3097.872340425532,822.6950354609929,1.0333333333333334,2.6,0.6,0.8833333333333334,2.65,2.716666666666667
WK0363EC,Houthavens,4660,3.648068669527897,1.53645179343529,864.1304347826086,490.2173913043478,1.2166666666666668,2.6333333333333333,0.9666666666666667,0.7999999999999999,2.9500000000000006,2.9500000000000006
WK0363ED,De Kolenkit,11770,3.9932030586236196,1.6080775993523737,2478.3783783783783,1229.7297297297298,1.4833333333333334,2.1333333333333333,0.6333333333333333,1.0166666666666666,2.8333333333333335,1.3
WK0363EE,Landlust,18640,5.418454935622318,1.8591774245043022,2352.293577981651,1531.1926605504586,1.1166666666666665,2.1999999999999997,0.5666666666666667,0.8666666666666666,2.816666666666667,1.5166666666666666
WK0363EF,Erasmuspark,5740,4.878048780487805,1.7712248667863473,3775.6097560975613,1478.048780487805,1.2333333333333334,2.1999999999999997,0.5,0.9500000000000001,2.5500000000000003,1.3
WK0363EG,Centrale Markt,2340,8.119658119658121,2.210432316503997,1556.1403508771932,714.0350877192983,0.8166666666666668,2.8333333333333335,0.9,0.6166666666666666,2.6166666666666667,1.8500000000000003
WK0363EH,Staatsliedenbuurt,12970,4.086353122590594,1.6265610949064269,2190.566037735849,1383.0188679245282,0.7000000000000001,2.6,0.5666666666666668,0.6,2.516666666666666,2.016666666666667
WK0363EJ,Frederik Hendrikbuurt,8200,5.7317073170731705,1.906828799012842,2050.0,1266.6666666666667,0.6333333333333333,2.766666666666667,0.6666666666666666,0.45,2.216666666666667,1.616666666666667
WK0363EK,Van Galenbuurt,7910,4.04551201011378,1.61849913728108,2810.344827586207,1358.6206896551726,1.0833333333333333,2.3333333333333335,0.6666666666666666,0.9333333333333332,2.4,1.2
WK0363EL,Geuzenbuurt,6625,5.283018867924529,1.8378505764283222,2020.689655172414,1386.2068965517242,0.8833333333333333,2.9,0.7333333333333334,0.5833333333333334,2.583333333333333,1.4166666666666667
WK0363EM,Hoofdweg e.o.,10150,5.714285714285714,1.9042374526547452,2059.5238095238096,1559.5238095238096,0.9333333333333332,2.5666666666666664,0.5666666666666668,1.0000000000000002,2.6833333333333336,1.3499999999999999
WK0363EN,Chassébuurt,6060,3.3003300330033003,1.458691771615476,1514.2857142857142,1175.0,0.7333333333333334,2.8666666666666667,0.5333333333333333,0.8166666666666665,2.6333333333333333,1.4833333333333332
WK0363EP,Bellamybuurt,6375,7.058823529411765,2.086767581771909,1600.0,1337.037037037037,0.5166666666666667,3.0,0.46666666666666673,0.85,2.4499999999999997,1.6333333333333335
WK0363EQ,Da Costabuurt,4740,8.016877637130802,2.1990981141840167,1888.4615384615383,1046.1538461538462,0.4666666666666666,2.8666666666666667,0.5666666666666668,0.65,2.1666666666666665,1.5
WK0363ER,Westindische Buurt,6685,4.338070306656694,1.674864221869124,1951.4285714285716,1360.0,1.0333333333333334,2.1666666666666665,0.6,0.9833333333333334,3.1166666666666667,1.6833333333333333
WK0363ES,Van Lennepbuurt,6890,6.095791001451379,1.959501791564987,1710.344827586207,1220.689655172414,0.5499999999999999,3.1,0.39999999999999997,0.75,2.516666666666666,1.8
