ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AfstandTotHuisartsenpraktijk_5;AfstandTotHuisartsenpost_9;AfstandTotApotheek_10;AfstandTotZiekenhuis_11;AfstandTotZiekenhuis_15;AfstandTotGroteSupermarkt_24;AfstandTotOvDagelLevensmiddelen_28;AfstandTotWarenhuis_32;AfstandTotCafeED_36;AfstandTotCafetariaED_40;AfstandTotRestaurant_44;AfstandTotHotelED_48;AfstandTotKinderdagverblijf_52;AfstandTotBuitenschoolseOpvang_56;AfstandTotSchool_60;AfstandTotSchool_64;AfstandTotSchool_68;AfstandTotSchool_72;AfstandTotOpritHoofdverkeersweg_89;AfstandTotTreinstationsTotaal_90;AfstandTotBelangrijkOverstapstation_91;AfstandTotBibliotheek_92;AfstandTotZwembad_93;AfstandTotKunstijsbaan_94;AfstandTotMuseum_95;AfstandTotPodiumkunstenTotaal_99;AfstandTotPoppodium_103;AfstandTotBioscoop_104;AfstandTotSauna_108;AfstandTotZonnebank_109;AfstandTotAttractie_110;AfstandTotBrandweerkazerne_114
1510;BU0363KM01;Amsterdam                               ;Buurt     ;BU0363KM01;2;0.2;2.6;0.5;2.6;2.6;0.3;0.3;2.2;0.3;0.3;0.2;0.7;0.3;0.6;0.4;0.5;0.5;0.5;1.7;1.2;3.8;1.3;1.2;3.6;1.9;1.6;3.0;2.2;3.5;0.7;3.2;1.4
1511;BU0363KM02;Amsterdam                               ;Buurt     ;BU0363KM02;2;0.3;3.3;0.4;3.3;3.3;0.5;0.5;2.2;0.7;0.5;0.4;0.9;0.3;0.3;0.3;1.0;1.0;1.1;1.1;1.1;3.3;1.9;0.6;4.5;1.6;0.9;3.5;1.9;2.9;0.5;3.0;2.3
1512;BU0363KM03;Amsterdam                               ;Buurt     ;BU0363KM03;2;0.5;3.1;0.5;3.1;3.1;0.5;0.4;2.4;0.4;0.4;0.2;0.9;0.2;0.3;0.4;0.6;0.6;0.7;1.3;1.4;3.6;1.7;0.6;4.2;1.9;1.2;3.5;2.2;3.3;0.9;3.3;2.0
1513;BU0363KM04;Amsterdam                               ;Buurt     ;BU0363KM04;2;0.4;2.9;0.4;2.9;2.9;0.4;0.3;2.5;0.3;0.3;0.3;0.9;0.3;0.5;0.6;0.3;0.3;0.3;1.4;1.5;4.0;1.6;1.0;3.9;2.1;1.6;3.3;2.4;3.6;1.0;3.5;1.7
1514;BU0363KM05;Amsterdam                               ;Buurt     ;BU0363KM05;2;1.5;4.0;1.5;4.0;4.0;1.7;1.6;3.3;1.6;1.4;0.6;1.7;1.0;0.8;1.4;1.3;1.3;1.8;1.8;1.9;4.1;2.7;0.8;4.9;2.8;1.9;4.4;3.1;3.7;1.6;3.7;2.7
1515;WK0363KN  ;Amsterdam                               ;Wijk      ;WK0363KN  ;2;0.6;2.1;0.7;2.1;2.1;0.7;0.6;0.9;0.8;0.4;0.4;0.5;0.4;0.7;0.8;0.4;0.5;0.4;1.5;0.9;0.9;1.5;2.4;6.4;2.1;0.4;3.2;2.3;1.5;0.7;2.7;2.6
1516;BU0363KN01;Amsterdam                               ;Buurt     ;BU0363KN01;2;0.6;2.1;0.7;2.1;2.1;0.7;0.6;0.9;0.8;0.4;0.4;0.5;0.4;0.7;0.8;0.4;0.5;0.4;1.5;0.9;0.9;1.5;2.4;6.4;2.1;0.4;3.2;2.3;1.5;0.7;2.7;2.6
1517;BU0363KN02;Amsterdam                               ;Buurt     ;BU0363KN02;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1518;WK0363KP  ;Amsterdam                               ;Wijk      ;WK0363KP  ;2;0.6;2.1;0.6;2.1;2.1;0.5;0.6;0.8;0.5;0.1;0.2;0.3;0.2;0.7;0.7;0.9;1.2;0.9;1.2;1.0;1.3;1.1;2.6;6.5;2.8;1.1;3.9;2.9;0.8;1.5;2.1;3.4
1519;BU0363KP01;Amsterdam                               ;Buurt     ;BU0363KP01;2;0.9;1.6;1.1;1.6;1.6;0.9;0.4;1.4;0.8;0.1;0.1;0.4;0.1;0.5;0.5;0.3;0.5;0.3;1.0;1.0;1.0;1.3;3.0;6.9;2.6;0.9;3.8;2.9;1.7;1.3;3.1;2.8
1520;BU0363KP02;Amsterdam                               ;Buurt     ;BU0363KP02;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1521;BU0363KP03;Amsterdam                               ;Buurt     ;BU0363KP03;2;0.5;0.8;0.6;0.8;0.8;0.7;0.7;1.2;0.6;0.6;0.3;1.1;0.7;1.0;1.2;1.3;1.3;1.3;0.8;1.7;1.7;1.4;4.0;7.9;3.5;2.0;4.0;3.9;1.0;1.7;2.6;3.6
1522;BU0363KP04;Amsterdam                               ;Buurt     ;BU0363KP04;2;0.2;2.1;0.2;2.1;2.1;0.2;0.3;0.3;0.4;0.1;0.0;0.2;0.1;1.0;1.0;0.9;1.1;0.9;1.5;1.1;1.1;1.0;2.9;6.8;2.8;1.1;3.9;3.0;0.3;1.4;1.9;3.4
1523;BU0363KP05;Amsterdam                               ;Buurt     ;BU0363KP05;2;1.0;2.2;1.0;2.2;2.2;0.9;0.9;1.2;0.7;0.2;0.5;0.2;0.4;0.4;0.4;1.2;1.6;1.2;0.7;0.8;1.7;1.1;2.0;5.9;2.8;1.2;4.1;2.7;1.2;1.5;1.9;3.5
1524;WK0363KQ  ;Amsterdam                               ;Wijk      ;WK0363KQ  ;2;0.5;1.8;0.5;1.8;1.8;0.4;0.4;1.1;0.7;0.5;0.3;0.6;0.4;0.6;0.7;0.7;0.7;0.7;1.6;2.1;2.2;1.1;3.6;7.5;3.4;1.8;3.8;4.1;1.3;1.1;1.6;4.0
