wijkcode,wijknaam,aantal_lantaarns,Totaal misdrijven,wijkcode_clean,AfstandTotHuisartsenpraktijk_5,AfstandTotHuisartsenpost_9,AfstandTotApotheek_10,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15,AfstandTotGroteSupermarkt_24,AfstandTotOvDagelLevensmiddelen_28,AfstandTotWarenhuis_32,AfstandTotCafeED_36,AfstandTotCafetariaED_40,AfstandTotRestaurant_44,AfstandTotHotelED_48,AfstandTotKinderdagverblijf_52,AfstandTotBuitenschoolseOpvang_56,AfstandTotSchool_60,AfstandTotSchool_64,AfstandTotSchool_68,AfstandTotSchool_72,AfstandTotOpritHoofdverkeersweg_89,AfstandTotTreinstationsTotaal_90,AfstandTotBelangrijkOverstapstation_91,AfstandTotBibliotheek_92,AfstandTotZwembad_93,AfstandTotKunstijsbaan_94,AfstandTotMuseum_95,AfstandTotPodiumkunstenTotaal_99,AfstandTotPoppodium_103,AfstandTotBioscoop_104,AfstandTotSauna_108,AfstandTotZonnebank_109,AfstandTotAttractie_110,AfstandTotBrandweerkazerne_114,inwoners,oppervlakte_ha,oppervlakte_km2,aantal_bomen,Misdrijven_per_1000_inwoners,Lights_per_km2,Trees_per_km2
WK0363MB,Weesperzijde,543,55.0,wk0363mb,0.7,1.2,0.7,1.2,1.2,0.5,0.4,1.7,0.5,0.3,0.1,0.5,0.5,0.6,0.6,0.6,0.8,0.6,3.1,1.4,3.3,1.3,0.6,3.4,1.7,1.0,2.0,1.4,2.7,1.3,1.8,1.5,5895,45.0,0.45,952,9.32994062765055,1206.6666666666667,2115.5555555555557
WK0363MC,Oosterparkbuurt,1089,100.0,wk0363mc,0.4,0.7,0.4,0.7,0.7,0.4,0.3,1.4,0.3,0.3,0.2,0.5,0.3,0.4,0.5,0.5,0.6,0.5,3.4,1.4,3.3,1.0,0.8,3.0,1.3,0.6,1.5,1.2,2.1,1.1,1.6,1.3,10690,75.0,0.75,2325,9.354536950420954,1452.0,3100.0
WK0363MD,Transvaalbuurt,607,41.0,wk0363md,0.7,1.1,0.5,1.1,1.1,0.4,0.2,0.9,0.3,0.3,0.2,0.6,0.4,0.4,0.4,0.7,0.8,0.7,2.8,1.1,4.0,0.9,0.7,2.4,1.6,1.1,1.2,1.7,2.1,0.8,2.1,1.1,8875,38.0,0.38,1114,4.619718309859155,1597.3684210526314,2931.578947368421
WK0363ME,Dapperbuurt,957,114.0,wk0363me,0.3,1.4,0.5,1.4,1.4,0.3,0.2,1.1,0.2,0.2,0.1,0.5,0.3,0.4,0.4,0.5,0.8,0.5,3.4,0.6,3.3,0.7,1.0,2.4,0.8,0.4,1.1,1.7,1.2,0.6,1.6,0.5,10000,61.0,0.61,1517,11.4,1568.8524590163934,2486.8852459016393
WK0363MF,Indische Buurt-West,894,54.0,wk0363mf,0.4,2.0,0.4,2.0,2.0,0.3,0.2,1.6,0.3,0.2,0.2,0.8,0.3,0.5,0.5,0.7,0.8,0.8,3.3,0.8,3.6,0.5,1.6,2.1,1.5,1.0,1.6,2.3,0.6,1.2,2.2,0.8,12270,48.0,0.48,1020,4.400977995110024,1862.5,2125.0
WK0363MG,Indische Buurt-Oost,1040,49.0,wk0363mg,0.5,2.5,0.6,2.5,2.5,0.5,0.4,1.6,0.4,0.4,0.3,1.0,0.3,0.4,0.3,0.5,0.5,1.3,2.9,1.3,3.9,0.5,2.0,2.1,1.9,1.4,1.9,2.8,0.7,1.7,2.7,1.3,9815,129.0,1.29,3193,4.99235863474274,806.2015503875969,2475.193798449612
WK0363MH,Zeeburgereiland/Bovendiep,1047,30.0,wk0363mh,0.6,4.8,2.7,4.8,4.8,0.5,2.1,2.8,2.6,0.4,0.8,2.5,0.5,0.5,0.5,2.6,2.6,3.4,0.9,3.6,5.0,2.9,4.4,4.6,4.1,3.9,4.3,4.9,3.1,3.3,4.9,3.6,5675,347.0,3.47,3071,5.286343612334802,301.72910662824205,885.0144092219019
WK0363MJ,IJburg-West,1598,40.0,wk0363mj,0.6,7.0,0.7,7.0,7.0,0.7,0.4,0.8,4.9,0.6,0.3,0.7,0.2,0.2,0.3,1.6,1.6,1.6,1.7,5.8,7.1,0.8,6.2,6.8,6.3,6.1,6.5,7.2,5.3,0.9,6.4,5.9,16310,126.0,1.26,2189,2.452483139178418,1268.2539682539682,1737.3015873015872
WK0363MK,IJburg-Oost,316,3.0,wk0363mk,0.9,9.0,0.9,7.3,9.0,0.8,0.8,2.3,5.8,0.8,0.8,1.0,0.6,0.7,0.8,1.0,1.0,1.0,2.5,5.7,7.9,1.7,5.0,8.2,6.3,6.1,8.5,9.2,6.2,2.0,4.9,5.7,620,40.0,0.4,74,4.838709677419355,790.0,185.0
WK0363ML,IJburg-Zuid,780,21.0,wk0363ml,0.6,8.4,0.6,7.7,8.4,0.6,0.5,1.7,6.0,0.5,0.5,0.9,0.2,0.4,0.4,0.6,0.6,0.6,2.7,6.1,8.1,1.4,5.4,8.1,6.7,6.5,7.9,8.6,6.4,1.4,5.3,6.1,8210,73.0,0.73,1621,2.5578562728380025,1068.4931506849316,2220.5479452054797
WK0363MM,Frankendael,2271,96.0,wk0363mm,0.5,2.1,1.0,2.1,2.1,0.7,0.4,1.4,1.0,0.4,0.3,0.6,0.4,0.5,0.9,0.7,0.9,0.8,2.5,1.1,4.2,1.7,1.3,2.1,1.4,1.9,2.0,2.6,2.3,1.2,3.0,1.3,12570,167.0,1.67,6825,7.637231503579953,1359.8802395209582,4086.8263473053894
WK0363MN,Middenmeer,1954,86.0,wk0363mn,0.6,2.7,0.8,2.7,2.7,0.5,0.5,0.9,0.7,0.5,0.3,1.3,0.4,0.5,0.7,0.7,0.7,1.5,2.0,1.1,4.5,1.4,1.4,1.1,1.3,1.5,1.6,3.2,1.2,1.2,3.0,1.6,15700,302.0,3.02,7863,5.477707006369426,647.0198675496689,2603.6423841059604
WK0363MP,Betondorp,871,12.0,wk0363mp,0.3,3.5,0.3,3.5,3.5,1.4,0.2,1.4,0.3,1.1,0.2,2.2,0.3,0.4,1.4,1.7,1.7,2.3,0.8,2.1,3.8,1.6,1.6,1.6,1.3,1.9,2.9,4.1,1.7,1.5,3.0,1.8,3085,113.0,1.13,5582,3.8897893030794166,770.7964601769912,4939.823008849558
WK0363MQ,Omval/Overamstel,1224,50.0,wk0363mq,1.7,3.6,1.1,3.6,3.6,1.7,0.7,3.2,1.7,0.7,0.4,0.6,0.8,0.9,0.9,1.9,1.9,2.1,1.5,1.8,3.0,2.4,2.3,3.8,2.9,2.8,3.8,3.6,3.8,2.2,4.0,2.0,5555,320.0,3.2,2899,9.000900090009,382.5,905.9375
WK0363NA,Oostzanerwerf,1774,41.0,wk0363na,0.9,3.9,0.9,3.9,3.9,0.7,0.7,2.5,1.6,0.7,0.9,2.0,0.7,0.7,0.7,1.2,1.2,3.8,1.1,6.7,6.7,0.9,4.3,11.9,4.6,1.6,4.0,5.6,4.7,4.9,8.3,2.6,8870,332.0,3.32,6631,4.622322435174746,534.3373493975904,1997.2891566265062
WK0363NB,Noordelijke IJ-oevers-West,1886,86.0,wk0363nb,0.7,2.8,0.6,2.8,2.8,0.6,0.7,2.0,0.5,0.3,0.3,0.6,0.7,0.8,1.1,1.1,1.3,1.4,3.6,5.9,5.9,1.5,2.1,8.9,1.3,1.1,1.5,2.9,2.9,4.2,5.6,1.9,9415,405.0,4.05,2759,9.134360063728094,465.67901234567904,681.2345679012346
WK0363NC,Tuindorp Oostzaan,2282,39.0,wk0363nc,0.6,3.6,1.0,3.6,3.6,0.9,0.5,1.4,1.5,0.8,0.6,1.7,0.4,0.5,0.6,1.7,1.7,3.0,2.4,6.8,6.8,1.7,3.1,10.3,3.0,1.1,3.1,4.6,4.6,5.0,7.0,1.3,12045,170.0,1.7,4121,3.2378580323785804,1342.3529411764707,2424.1176470588234
WK0363ND,Kadoelen,781,14.0,wk0363nd,1.1,2.9,1.1,2.9,2.9,1.0,0.9,1.9,0.7,0.5,0.6,2.7,0.6,0.5,0.6,2.0,2.0,2.8,1.3,7.4,7.4,1.1,3.6,11.1,3.9,1.6,3.0,4.7,3.8,4.4,7.9,2.4,3565,150.0,1.5,1681,3.927068723702665,520.6666666666666,1120.6666666666667
WK0363NE,Banne Buiksloot,2355,59.0,wk0363ne,0.8,0.9,0.7,0.9,0.9,0.8,0.6,2.9,0.7,0.9,0.7,2.3,0.4,0.6,0.7,1.0,1.0,1.0,1.9,6.5,6.5,0.9,2.0,9.6,2.7,0.9,1.1,2.9,4.0,2.5,6.3,3.1,14805,183.0,1.83,6177,3.9851401553529215,1286.8852459016393,3375.4098360655735
WK0363NF,Nieuwendammerdijk/Buiksloterdijk,271,4.0,wk0363nf,1.1,3.0,0.8,3.0,3.0,1.3,0.5,1.8,0.7,0.6,0.6,1.1,0.5,0.8,0.9,1.0,1.0,1.1,2.8,5.3,5.3,1.9,2.1,8.1,1.4,3.0,3.0,1.7,2.1,2.1,5.1,2.9,1705,43.0,0.43,727,2.346041055718475,630.232558139535,1690.6976744186047
WK0363NG,Elzenhagen,1004,30.0,wk0363ng,1.4,1.5,1.3,1.5,1.5,0.9,0.9,2.1,1.4,0.6,1.2,1.6,0.4,0.5,0.5,0.6,0.6,0.6,1.9,5.5,5.5,2.0,1.7,8.5,2.5,1.9,2.0,1.8,3.2,1.4,5.3,2.4,5260,86.0,0.86,3043,5.7034220532319395,1167.4418604651164,3538.3720930232557
WK0363NH,Buikslotermeer,2063,94.0,wk0363nh,0.6,2.2,0.5,2.2,2.2,0.5,0.6,1.1,0.7,0.4,0.4,1.5,0.3,0.4,0.5,1.0,1.0,1.1,2.2,5.8,5.8,1.8,2.2,8.6,2.4,2.7,2.8,0.9,3.1,0.8,5.6,1.6,11785,155.0,1.55,5090,7.976240984302078,1330.967741935484,3283.8709677419356
WK0363NJ,Waterlandpleinbuurt,1885,51.0,wk0363nj,0.5,3.3,0.7,3.3,3.3,0.5,0.5,1.8,0.6,0.6,0.6,2.5,0.3,0.4,0.4,0.7,0.7,2.4,1.5,6.5,7.0,0.7,3.5,7.6,3.0,3.7,3.8,1.9,3.7,1.5,6.8,0.7,13940,151.0,1.51,5388,3.658536585365854,1248.3443708609273,3568.2119205298013
WK0363NK,Volewijck,1700,70.0,wk0363nk,0.6,2.3,0.7,2.3,2.3,0.6,0.2,2.7,0.4,0.3,0.2,0.7,0.4,0.6,0.6,0.6,0.6,0.8,3.5,5.1,5.1,0.8,1.0,8.1,1.4,1.3,1.3,1.9,2.1,3.2,4.8,2.7,9365,131.0,1.31,4306,7.474639615589963,1297.709923664122,3287.022900763359
WK0363NL,IJplein/Vogelbuurt,1456,44.0,wk0363nl,0.6,3.3,0.5,3.3,3.3,0.4,0.2,2.5,0.4,0.4,0.3,0.4,0.5,0.5,0.4,0.6,0.6,0.6,3.8,4.9,4.9,1.1,2.1,8.0,0.9,2.1,2.1,1.0,1.0,2.9,4.7,3.4,7945,145.0,1.45,5604,5.538074260541221,1004.1379310344828,3864.8275862068967
WK0363NM,Tuindorp Buiksloot,322,6.0,wk0363nm,0.8,2.6,0.5,2.6,2.6,1.1,0.4,1.3,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.5,0.5,2.7,5.1,5.1,2.1,1.9,8.1,0.9,3.0,3.0,1.4,1.6,1.8,4.9,2.9,1910,17.0,0.17,428,3.141361256544503,1894.1176470588234,2517.6470588235293
WK0363NN,Tuindorp Nieuwendam,735,11.0,wk0363nn,0.4,3.2,0.5,3.2,3.2,0.9,0.3,1.6,0.6,0.5,0.3,1.6,0.3,0.5,0.7,1.2,1.2,1.5,2.0,6.0,6.0,0.9,2.6,7.8,2.1,3.7,3.7,1.8,2.7,1.6,5.8,1.4,3465,47.0,0.47,1409,3.1746031746031744,1563.8297872340427,2997.872340425532
WK0363NP,Noordelijke IJ-oevers-Oost,243,14.0,wk0363np,0.6,3.5,0.6,3.5,3.5,0.2,0.4,2.4,0.2,0.3,0.1,0.4,0.3,0.2,0.6,0.8,0.8,0.9,3.6,4.8,4.8,1.3,2.3,7.7,0.8,2.4,2.4,0.6,0.8,2.8,4.6,3.3,400,111.0,1.11,459,35.0,218.9189189189189,413.5135135135135
WK0363NQ,Waterland,1005,14.0,wk0363nq,2.4,6.3,3.6,6.3,6.3,2.2,3.4,4.8,3.6,3.1,1.7,2.8,1.9,1.4,2.0,3.8,3.8,5.0,2.7,7.1,8.0,3.7,6.0,8.1,5.5,6.3,6.6,5.0,5.8,4.5,8.0,3.7,2410,2774.0,27.74,3952,5.809128630705394,36.22927180966114,142.46575342465755
WK0363SA,Driemond,381,4.0,wk0363sa,2.6,7.4,2.6,3.9,7.4,2.9,2.8,3.0,2.9,0.4,2.3,2.5,0.3,0.3,0.4,3.0,3.0,3.2,0.7,3.6,3.6,2.9,2.6,8.3,3.1,3.3,9.5,7.6,2.6,5.9,5.0,0.4,1690,223.0,2.23,1385,2.366863905325444,170.85201793721973,621.0762331838565
WK0363SB,Bloemendalerpolder,925,6.0,wk0363sb,1.1,11.0,2.0,1.1,11.0,2.1,1.9,2.5,2.1,1.2,1.6,2.1,0.7,0.7,1.9,2.2,2.2,2.2,2.8,1.5,1.5,2.6,4.5,12.3,2.7,2.1,13.6,11.1,4.5,10.0,9.0,2.9,4150,385.0,3.85,1847,1.4457831325301205,240.25974025974025,479.7402597402597
WK0363SC,Weesp-Noordwest,1174,28.0,wk0363sc,0.6,9.7,0.6,1.4,9.7,0.6,0.6,1.3,1.1,0.4,0.4,0.8,0.4,0.5,0.5,0.7,0.7,0.7,1.5,1.2,1.2,1.4,3.2,11.3,1.6,1.0,12.6,9.8,3.2,9.0,8.0,1.9,7930,195.0,1.95,2537,3.530895334174023,602.0512820512821,1301.025641025641
WK0363SD,Weesp Binnenstad/Zuid,820,22.0,wk0363sd,0.7,9.3,0.6,1.3,9.3,0.7,0.5,0.8,0.5,0.5,0.4,0.8,0.6,0.6,0.6,0.8,0.8,1.2,1.0,1.1,1.1,0.7,2.8,10.9,0.7,0.8,12.2,9.5,2.8,8.6,7.7,0.9,5615,141.0,1.41,1973,3.918076580587711,581.5602836879433,1399.2907801418442
WK0363SE,Aetsveld/Oostelijke Vechtoever,856,11.0,wk0363se,1.0,9.6,1.4,2.6,9.6,1.0,1.6,1.9,1.0,1.0,1.0,2.1,1.0,0.9,1.0,1.8,1.8,2.3,0.7,2.4,2.4,1.7,3.1,11.2,1.8,2.0,12.2,9.5,3.1,8.7,7.9,1.6,4385,1696.0,16.96,2803,2.508551881413911,50.471698113207545,165.27122641509433
WK0363TA,Amstel III/Bullewijk,2130,139.0,wk0363ta,0.5,1.0,1.1,1.0,1.0,0.8,0.5,3.0,1.5,0.6,0.4,1.0,0.6,1.3,1.4,2.5,2.5,2.5,1.0,1.0,4.5,2.9,2.9,8.4,5.6,2.7,8.4,2.6,6.4,6.7,3.1,3.0,3545,527.0,5.27,3606,39.21015514809591,404.1745730550285,684.2504743833017
WK0363TB,Venserpolder,920,35.0,wk0363tb,0.6,4.5,0.6,4.5,4.5,0.7,0.6,1.9,1.4,0.5,0.6,1.2,0.4,0.7,0.7,0.7,0.7,1.3,2.2,1.1,1.1,1.8,1.9,4.8,4.3,2.1,6.1,2.7,2.7,3.0,2.7,2.8,8515,82.0,0.82,2309,4.110393423370522,1121.9512195121952,2815.8536585365855
WK0363TC,Amsterdamse Poort e.o.,1703,136.0,wk0363tc,0.4,3.8,0.5,3.8,3.8,0.7,0.4,1.1,1.0,0.5,0.4,0.8,0.5,0.7,0.6,0.9,1.0,0.9,2.0,1.4,2.0,1.0,1.0,5.4,4.6,1.1,6.7,2.2,3.4,3.7,2.8,2.4,8260,152.0,1.52,3869,16.46489104116223,1120.3947368421052,2545.3947368421054
WK0363TD,H-buurt,1016,39.0,wk0363td,0.6,2.7,1.1,2.7,2.7,1.0,0.9,1.2,1.1,0.9,0.6,0.9,0.5,0.8,0.8,2.0,2.0,2.0,1.6,1.3,3.0,1.2,1.1,6.6,5.4,1.0,7.9,2.0,4.6,4.9,2.9,2.0,7590,81.0,0.81,2493,5.138339920948616,1254.320987654321,3077.7777777777774
WK0363TE,Ganzenhoef e.o.,1351,52.0,wk0363te,0.6,4.8,0.7,4.8,4.8,0.7,0.6,2.0,1.6,0.6,0.5,1.7,0.4,0.6,0.9,0.9,0.9,0.9,2.2,2.0,2.9,2.0,1.7,4.9,4.6,1.8,6.2,3.3,2.8,3.0,2.2,2.5,7715,83.0,0.83,2519,6.740116655865198,1627.710843373494,3034.9397590361446
WK0363TF,Geerdinkhof/Kantershof,1463,19.0,wk0363tf,0.6,5.0,1.0,5.0,5.0,1.1,0.9,2.9,1.4,0.9,0.9,1.9,0.3,0.4,0.4,1.8,1.8,1.8,1.9,2.9,4.3,2.9,2.6,5.8,5.6,2.7,7.1,4.2,3.7,3.8,2.8,2.9,7160,171.0,1.71,6556,2.6536312849162007,855.5555555555555,3833.918128654971
WK0363TG,Bijlmermuseum,878,46.0,wk0363tg,0.3,4.2,0.4,4.2,4.2,0.4,0.3,2.4,1.0,0.4,0.4,1.4,0.3,0.4,0.9,1.4,1.4,1.4,1.5,2.8,4.1,2.3,2.2,6.1,5.7,2.1,7.3,3.6,3.9,4.0,3.0,2.1,7785,58.0,0.58,2472,5.908798972382788,1513.793103448276,4262.068965517242
WK0363TH,K-buurt,1308,29.0,wk0363th,0.5,4.0,0.8,4.0,4.0,0.9,0.7,2.5,1.0,0.9,0.9,1.5,0.6,0.8,1.1,1.5,1.5,1.5,1.3,3.0,4.1,2.4,2.3,6.3,5.8,2.2,7.6,3.7,4.2,4.3,3.3,1.8,7440,96.0,0.96,2999,3.897849462365591,1362.5,3123.9583333333335
WK0363TJ,Holendrecht,1905,40.0,wk0363tj,0.9,1.4,0.9,1.4,1.4,0.7,0.8,2.8,1.0,0.7,0.8,2.1,0.5,0.7,0.8,1.7,1.7,1.7,1.8,0.9,4.6,2.5,2.6,8.1,6.6,2.5,9.1,3.5,6.1,6.4,2.9,2.4,9500,139.0,1.39,5415,4.2105263157894735,1370.5035971223022,3895.6834532374105
WK0363TK,Nellestein,1059,18.0,wk0363tk,0.9,3.5,1.5,3.5,3.5,1.7,1.4,2.9,1.6,1.0,1.7,1.0,0.8,0.4,0.8,2.0,2.0,2.0,0.6,3.0,4.7,2.8,2.7,7.1,5.9,2.6,8.4,4.1,5.0,5.3,2.6,0.6,3115,274.0,2.74,2767,5.778491171749599,386.49635036496346,1009.8540145985401
WK0363TL,Reigersbos,1743,37.0,wk0363tl,1.0,2.5,1.0,2.5,2.5,0.9,0.8,3.5,1.0,1.0,0.9,2.8,0.8,0.9,0.9,1.5,1.5,1.5,2.2,2.3,5.7,1.5,3.7,8.7,7.5,3.6,9.8,4.6,6.8,7.1,2.6,2.3,8540,133.0,1.33,2917,4.332552693208431,1310.5263157894735,2193.2330827067667
WK0363TM,Gein,2201,33.0,wk0363tm,0.8,3.5,0.9,3.5,3.5,1.0,0.9,4.3,2.0,0.9,1.0,3.4,0.7,0.7,0.7,2.1,2.1,2.1,2.5,3.0,6.1,2.2,4.1,8.7,8.0,4.0,9.9,5.4,6.8,7.0,1.3,2.3,11220,192.0,1.92,3891,2.941176470588235,1146.3541666666667,2026.5625
