wijkcode,wijknaam,aantal_lantaarns,Totaal misdrijven,wijkcode_clean,AfstandTotHuisartsenpraktijk_5,AfstandTotHuisartsenpost_9,AfstandTotApotheek_10,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15,AfstandTotGroteSupermarkt_24,AfstandTotOvDagelLevensmiddelen_28,AfstandTotWarenhuis_32,AfstandTotCafeED_36,AfstandTotCafetariaED_40,AfstandTotRestaurant_44,AfstandTotHotelED_48,AfstandTotKinderdagverblijf_52,AfstandTotBuitenschoolseOpvang_56,AfstandTotSchool_60,AfstandTotSchool_64,AfstandTotSchool_68,AfstandTotSchool_72,AfstandTotOpritHoofdverkeersweg_89,AfstandTotTreinstationsTotaal_90,AfstandTotBelangrijkOverstapstation_91,AfstandTotBibliotheek_92,AfstandTotZwembad_93,AfstandTotKunstijsbaan_94,AfstandTotMuseum_95,AfstandTotPodiumkunstenTotaal_99,AfstandTotPoppodium_103,AfstandTotBioscoop_104,AfstandTotSauna_108,AfstandTotZonnebank_109,AfstandTotAttractie_110,AfstandTotBrandweerkazerne_114
WK0363EQ,Da Costabuurt,272,38.0,wk0363eq,0.3,2.9,0.5,1.8,2.9,0.2,0.2,1.3,0.2,0.2,0.1,0.3,0.3,0.4,0.4,0.9,1.0,0.9,2.6,3.0,3.0,0.7,1.2,7.0,1.1,0.5,1.2,0.8,0.5,0.9,2.5,0.6
WK0363ER,Westindische Buurt,476,29.0,wk0363er,0.5,2.3,0.6,2.3,2.3,0.4,0.2,1.2,0.4,0.3,0.2,0.7,0.2,0.4,0.5,1.6,1.6,1.6,1.2,1.8,3.5,1.3,1.8,8.3,2.9,2.4,2.8,1.8,2.0,1.2,2.0,2.1
WK0363ES,Van Lennepbuurt,354,42.0,wk0363es,0.4,3.0,0.7,2.3,3.0,0.3,0.2,0.7,0.2,0.2,0.2,0.4,0.4,0.5,0.4,1.0,1.0,1.2,2.5,3.1,3.7,0.6,1.9,7.2,1.7,1.1,1.4,0.9,0.7,0.6,2.6,1.4
WK0363ET,Overtoomse Sluis,397,35.0,wk0363et,0.8,3.0,0.6,3.0,3.0,0.4,0.2,0.9,0.3,0.3,0.1,0.4,0.3,0.4,0.6,1.3,1.3,1.8,1.6,2.2,3.6,1.3,2.3,7.5,2.1,1.8,2.1,1.7,1.7,0.8,2.7,2.2
WK0363EU,Helmersbuurt,447,60.0,wk0363eu,0.4,3.3,0.5,2.4,3.3,0.3,0.3,1.0,0.3,0.2,0.1,0.3,0.3,0.6,0.6,0.6,0.6,1.2,2.4,2.9,3.6,1.0,1.7,6.8,1.3,1.0,1.3,1.1,1.0,0.9,3.0,1.6
WK0363EV,Vondelparkbuurt,271,37.0,wk0363ev,0.5,3.6,0.4,2.2,3.6,0.4,0.3,1.4,0.4,0.3,0.2,0.2,0.3,0.9,1.0,0.6,0.7,1.1,2.6,3.1,3.4,1.2,1.4,6.4,1.0,0.9,1.1,1.0,1.1,1.1,3.3,1.7
WK0363FA,Sloterdijk Nieuw-West,2990,123.0,wk0363fa,2.1,3.3,2.1,3.3,3.3,1.3,1.3,2.4,1.6,0.6,0.5,0.7,1.6,1.6,1.7,1.2,1.2,1.2,0.5,1.6,1.6,2.4,3.1,10.9,3.6,2.9,5.6,3.7,4.2,2.5,2.7,2.3
WK0363FB,Geuzenveld,3088,76.0,wk0363fb,0.6,3.4,0.6,3.4,3.4,0.4,0.4,2.2,0.5,0.4,0.4,2.0,0.3,0.4,0.4,1.7,1.7,2.5,1.0,3.8,3.8,0.7,2.2,12.7,2.5,2.9,6.9,5.5,2.2,2.1,3.0,2.1
WK0363FC,Slotermeer-West,1479,56.0,wk0363fc,0.6,2.3,0.5,2.3,2.3,0.4,0.3,1.3,0.4,0.4,0.3,1.0,0.4,0.6,0.6,0.7,0.7,1.5,1.2,3.1,3.1,0.8,1.1,11.6,1.4,2.9,5.8,4.5,2.4,1.1,2.9,2.2
WK0363FD,Slotermeer-Noordoost,1563,58.0,wk0363fd,0.5,2.1,0.7,2.1,2.1,0.6,0.4,0.8,0.7,0.4,0.3,0.9,0.4,0.5,0.4,1.2,1.2,1.3,0.9,3.0,3.0,1.1,1.9,10.9,1.5,2.1,5.1,3.7,3.0,1.0,2.5,2.7
WK0363FE,Slotermeer-Zuidoost,1616,58.0,wk0363fe,0.9,1.4,0.9,1.4,1.4,0.8,0.5,1.1,1.0,0.6,0.4,0.8,0.6,0.5,0.6,0.5,0.5,0.6,1.2,3.1,3.6,1.1,1.2,10.8,0.7,2.4,4.9,3.7,2.0,1.4,2.0,2.4
WK0363FF,Lutkemeer/Ookmeer,890,16.0,wk0363ff,1.5,4.9,1.7,4.9,4.9,1.5,1.3,2.7,1.3,1.1,1.4,1.5,1.2,0.8,1.1,2.8,2.8,3.4,2.1,3.9,5.9,2.0,3.3,13.1,4.0,2.8,8.4,7.2,2.2,2.6,2.0,1.6
